#Time(s) Cwnd(bytes) Context
1.21867 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24275 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2588 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2588 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26683 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.27486 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.27685 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.28488 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.32099 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.34507 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36112 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36113 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36915 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.37718 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.37917 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.3872 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.42331 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.44739 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.46345 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.46345 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.47147 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.4795 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.48149 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.48952 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.52563 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.54971 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
