#Time(s) Rtt(s) Context
1.20061 0.00970898 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20664 0.00949536 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21064 0.00955844 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21467 0.00936363 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21867 0.00919318 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22469 0.00929403 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2267 0.00913228 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23272 0.00974074 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23272 0.0102731 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23472 0.009989 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24075 0.00974038 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24275 0.00977283 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24275 0.00955122 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25077 0.00960732 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25078 0.0096564 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25078 0.00944935 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2608 0.00951818 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26683 0.0103284 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26683 0.0100374 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.27485 0.0105327 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.27685 0.0104661 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.28288 0.0101578 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.28488 0.0101381 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
