#Time(s) Throughput(Mbps)
1.5 2.35776
1.6 6.1056
1.7 6.1056
1.8 5.76
1.9 6.1056
2 5.9904
2.1 6.1056
2.2 5.76
2.3 5.9904
2.4 6.1056
2.5 6.1056
2.6 5.6448
2.7 6.1056
2.8 6.1056
2.9 5.9904
3 5.8752
3.1 6.1056
3.2 6.1056
3.3 5.4144
3.4 6.1056
3.5 6.1056
3.6 6.1056
3.7 5.5296
3.8 5.9904
3.9 6.1056
4 5.6448
4.1 5.9904
4.2 6.1056
4.3 6.2208
4.4 8.2944
4.5 7.3728
4.6 7.2576
4.7 7.0272
4.8 7.3728
4.9 7.488
5 7.6032
5.1 7.2576
5.2 7.3728
5.3 7.3728
5.4 7.3728
5.5 7.6032
5.6 7.2576
5.7 7.3728
5.8 7.1424
5.9 7.3728
6 7.6032
6.1 7.6032
6.2 7.3728
6.3 7.0272
6.4 7.3728
6.5 7.3728
6.6 7.6032
6.7 6.912
6.8 5.8752
6.9 5.6448
7 6.1056
7.1 6.1056
7.2 5.5296
7.3 5.9904
7.4 6.1056
7.5 6.1056
7.6 5.6448
7.7 5.9904
7.8 6.1056
7.9 5.8752
8 5.8752
8.1 6.1056
8.2 6.1056
8.3 5.76
8.4 5.8752
8.5 6.1056
8.6 5.8752
8.7 6.1056
8.8 5.8752
8.9 6.1056
9 5.8752
9.1 5.8752
9.2 4.3776
9.3 0
9.4 0
9.5 0
9.6 0
9.7 0
9.8 0
9.9 0
