#Time(s) Rtt(s) Context
1.20041 0.0368412 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21559 0.0438611 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22173 0.0402534 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22277 0.0372218 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22787 0.033319 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23898 0.0312792 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24512 0.0287443 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25126 0.0259012 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26747 0.0254136 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.27361 0.0257369 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.28982 0.0280198 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.305 0.0320173 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.31114 0.0300151 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.31217 0.0283882 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.31728 0.0255897 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.32839 0.024516 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.33452 0.0228265 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.34066 0.0207232 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.35688 0.0208828 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.36302 0.0218974 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.37923 0.0247853 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.39441 0.0291871 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.40055 0.0274137 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.40158 0.025987 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.40669 0.0234886 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.41779 0.0226775 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.42393 0.0212179 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.43007 0.0194406 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.44629 0.0198855 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.45242 0.0210248 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.46864 0.0240217 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.48382 0.028519 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.48995 0.0268291 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.49099 0.0254755 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.49609 0.0231661 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.5072 0.0225203 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.51334 0.0210803 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.51948 0.0191952 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.53569 0.0195458 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.54183 0.0206026 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.55805 0.0236523 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.57322 0.0281957 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.57936 0.0265463 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.5804 0.025228 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.5855 0.0228245 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.59661 0.0220964 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.60275 0.0207094 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.60889 0.0188707 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.6251 0.0193869 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.63124 0.0205885 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.64745 0.0236399 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.66263 0.0281849 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.66877 0.0265368 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.66981 0.0252197 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.67491 0.0228173 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.68602 0.0222151 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.69216 0.0208132 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.6983 0.0189616 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.71451 0.0193414 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.72065 0.0204237 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.73686 0.0233707 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.75204 0.0279494 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.75818 0.0264557 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.75921 0.0252738 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.76432 0.0228645 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.77543 0.0221315 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.78157 0.02074 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.7877 0.0188975 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.80392 0.0192853 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.81006 0.0204997 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.82627 0.0235622 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.84145 0.0281169 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.84759 0.0264773 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.84862 0.0251677 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.85373 0.0227717 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.86484 0.0220502 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.87097 0.020669 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.87711 0.0189603 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.89333 0.0194653 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.89946 0.0206571 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.91568 0.0237 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.93086 0.0282375 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.937 0.0265828 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.93803 0.025385 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.94313 0.0230868 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.95424 0.022451 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.96038 0.0210196 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.96652 0.0191422 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.98273 0.0194994 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.98887 0.020562 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.00509 0.0236167 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.02027 0.0281646 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.0264 0.026519 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.02744 0.0252042 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.03254 0.0228036 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.04365 0.0220782 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.04979 0.0206934 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.05593 0.0188567 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.07214 0.0193746 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.07828 0.0205778 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.09449 0.0236306 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.10967 0.0281768 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.11581 0.0265297 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.11685 0.0252135 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.12195 0.0228118 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.13306 0.0222103 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
