#Time(s) Rtt(s) Context
1.2008 0.0106895 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20081 0.0103533 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20082 0.0100591 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20084 0.00980172 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20281 0.00982651 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20282 0.00984819 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20284 0.00986717 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20286 0.00988377 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20482 0.0101483 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20483 0.0103798 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20485 0.0105823 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20683 0.0102595 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20683 0.00997707 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20685 0.00972993 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20687 0.00951369 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20883 0.00957448 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20885 0.00962767 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20885 0.00967421 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20887 0.00971493 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21084 0.0100006 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21085 0.0102505 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21087 0.0104692 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21282 0.0101605 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21285 0.00989047 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21287 0.00965416 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21289 0.00944739 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21485 0.00951646 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21487 0.00957691 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21488 0.00962979 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21489 0.00967607 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21684 0.00946656 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21688 0.00928324 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21689 0.00912283 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21691 0.00898248 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21888 0.00910967 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21888 0.00922096 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21891 0.00931834 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21892 0.00940355 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22088 0.0097281 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2209 0.0100121 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22092 0.0102606 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22094 0.010478 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22289 0.0109183 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22291 0.0113035 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22292 0.0116405 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22294 0.0119355 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2249 0.0114435 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22492 0.0110131 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22493 0.0106365 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22687 0.0103069 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22691 0.0100185 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22693 0.00976622 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22694 0.00954544 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2289 0.00960226 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22892 0.00965198 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22894 0.00969548 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22895 0.00973354 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2309 0.00951685 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23096 0.00932724 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23096 0.00916134 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23098 0.00901617 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23293 0.00913915 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23295 0.00924675 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23296 0.00934091 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23298 0.00942329 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23494 0.00974538 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23496 0.0100272 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23497 0.0102738 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23499 0.0104896 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23696 0.0109284 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23698 0.0113123 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.237 0.0116483 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23701 0.0120673 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23896 0.0125588 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23898 0.012989 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23899 0.0133654 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23902 0.0138197 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24097 0.0143422 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
