#Time(s) Cwnd(bytes) Context
1.20882 10080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22288 11520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.23694 12960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24096 10080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24293 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24699 10080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2751 11520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.28715 11040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.28915 10800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.29118 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.29517 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.30922 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.31326 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.35541 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36747 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.37349 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.38152 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.38152 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.38955 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.41365 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.43171 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.44779 10080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.46184 11520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.4759 12960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.47993 10080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.4819 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.48595 10080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.51406 11520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.52612 11040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.52811 10800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.53014 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.53414 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.54819 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.55222 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.59438 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.60644 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.61246 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.62048 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.62049 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.62851 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.65262 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.67067 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.68675 10080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.70081 11520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.71487 12960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.71889 10080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.72086 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.72492 10080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.75303 11520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.76508 11040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.76708 10800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.76911 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.7731 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.78715 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.79119 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.83334 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.8454 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.85143 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.85945 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.85945 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.86748 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.89158 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.90964 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.92572 10080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.93977 11520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.95383 12960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.95786 10080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.95983 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.96388 10080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.99199 11520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.00405 11040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.00604 10800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.00807 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.01207 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
