#Time(s) Rtt(s) Context
1.2008 0.00796462 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2028 0.00796904 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2068 0.00797291 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20882 0.0079763 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20882 0.00772926 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21482 0.0077631 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21485 0.00754271 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21685 0.00759987 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22085 0.00764989 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22288 0.00769365 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22288 0.00748195 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22888 0.0080467 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2289 0.00804086 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22891 0.00778576 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23091 0.00781254 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2349 0.00758597 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23493 0.00738772 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23693 0.00746426 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23694 0.00728122 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24096 0.00712107 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24293 0.00723094 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24296 0.00707707 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24696 0.00744243 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
