#Time(s) Throughput(Mbps)
1.5 3.27936
1.6 9.9072
1.7 8.2944
1.8 11.0592
1.9 7.8336
2 11.52
2.1 8.9856
2.2 9.6768
2.3 10.0224
2.4 8.1792
2.5 11.52
2.6 8.2944
2.7 9.4464
2.8 7.0272
2.9 6.7968
3 9.3312
3.1 7.9488
3.2 9.1008
3.3 7.3728
3.4 9.1008
3.5 7.6032
3.6 9.216
3.7 7.488
3.8 8.7552
3.9 7.9488
4 8.7552
4.1 8.5248
4.2 7.8336
4.3 11.0592
4.4 9.4464
4.5 9.1008
4.6 10.5984
4.7 7.8336
4.8 11.6352
4.9 8.1792
5 10.4832
5.1 9.6768
5.2 8.4096
5.3 11.1744
5.4 7.8336
5.5 8.7552
5.6 6.912
5.7 8.8704
5.8 7.9488
5.9 8.8704
6 7.9488
6.1 8.8704
6.2 8.064
6.3 8.5248
6.4 7.9488
6.5 9.1008
6.6 7.6032
6.7 9.1008
6.8 7.6032
6.9 8.7552
7 8.5248
7.1 7.8336
7.2 11.7504
7.3 8.064
7.4 10.2528
7.5 10.1376
7.6 8.064
7.7 11.4048
7.8 7.7184
7.9 11.0592
8 9.4464
8.1 8.9856
8.2 10.7136
8.3 8.064
8.4 9.1008
8.5 6.1056
8.6 8.2944
8.7 8.4096
8.8 8.5248
8.9 8.64
9 8.064
9.1 8.64
9.2 1.2672
9.3 0
9.4 0
9.5 0
9.6 0
9.7 0
9.8 0
9.9 0
