#Time(s) Rtt(s) Context
1.20167 0.154018 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20499 0.157265 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20831 0.160607 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21163 0.163906 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21496 0.167168 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21828 0.170522 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2216 0.173832 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22492 0.177103 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22824 0.180465 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23157 0.183782 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23489 0.187059 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23821 0.190427 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24153 0.193748 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24485 0.19703 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24817 0.200401 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2515 0.203726 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25482 0.20701 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25814 0.210384 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26146 0.213711 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26478 0.216997 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26811 0.220372 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.27143 0.223701 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.27475 0.226988 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.27807 0.230365 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.28139 0.233694 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.28471 0.236982 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.28804 0.24036 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.29136 0.24369 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.29468 0.246978 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.298 0.250356 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.30132 0.253687 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.30465 0.256976 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.30797 0.260229 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.31129 0.263575 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.31461 0.266878 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.31793 0.270144 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.32125 0.273501 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.32458 0.276813 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.3279 0.280086 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.33122 0.283451 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.33454 0.286769 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.33786 0.290048 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.34119 0.293417 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.34451 0.29674 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.34783 0.300022 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.35115 0.303395 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.35447 0.30672 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.35779 0.310005 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.36112 0.31338 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.36444 0.316707 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.36776 0.319994 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.37108 0.32337 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.3744 0.326698 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.37772 0.329986 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.38105 0.333363 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.38437 0.336692 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.38769 0.339981 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.39101 0.343358 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.39433 0.346688 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.39766 0.349977 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.40098 0.35323 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.4043 0.356576 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.40762 0.359879 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.41094 0.363144 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.41426 0.366501 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.41759 0.369814 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.42091 0.373087 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.42423 0.376451 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.42755 0.37977 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.43087 0.383049 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.4342 0.386417 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.43752 0.38974 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.44084 0.393023 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.44416 0.396395 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.44748 0.399721 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.4508 0.403005 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.45413 0.40638 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.45745 0.409707 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.46077 0.412994 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.46409 0.41637 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.46741 0.419698 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.47074 0.422986 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.47406 0.426363 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.47738 0.429693 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.4807 0.432981 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.48402 0.436358 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.48734 0.439689 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.49067 0.442977 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.49399 0.44623 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.49731 0.449577 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.50063 0.452879 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.50395 0.456145 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.50728 0.459501 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.5106 0.462814 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.51392 0.466087 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.51724 0.469451 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.52056 0.47277 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.52388 0.476049 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.52721 0.479417 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.53053 0.48274 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.53385 0.486023 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.53717 0.489395 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.54049 0.492721 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.54381 0.496005 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.54714 0.49938 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.55046 0.502707 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.55378 0.505994 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.5571 0.50937 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.56042 0.512698 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.56375 0.515986 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.56707 0.519363 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.57039 0.522693 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.57371 0.525981 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.57703 0.529358 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.58035 0.532689 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.58368 0.535977 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.587 0.53923 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
