#Time(s) Cwnd(bytes) Context
1.21202 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21502 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22328 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25632 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26459 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.27359 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.3209 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.34568 10080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.37947 11520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.38797 11040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.39073 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.399 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.41852 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.42152 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.42978 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.46283 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.47109 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.48009 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.5274 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.55219 10080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.58597 11520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.59447 11040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.59723 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.6055 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.62502 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.62802 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.63629 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
