#Time(s) Rtt(s) Context
1.20075 0.0114519 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20375 0.0113954 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20902 0.011096 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21502 0.011584 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22328 0.011136 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22578 0.010744 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23154 0.011151 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23454 0.0111321 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2398 0.0114906 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2428 0.0114293 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24806 0.0117506 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25406 0.0121568 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25632 0.0123872 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26233 0.0125888 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26533 0.0131402 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.27359 0.0146227 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.27885 0.0144198 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.28485 0.0141174 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.28711 0.0141027 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.29311 0.0142148 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.29611 0.014688 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.30364 0.014102 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.30437 0.0137142 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.30737 0.013375 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.3149 0.0139531 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.3209 0.013334 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.32916 0.0135422 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.33216 0.0133494 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.33742 0.0138058 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
