#Time(s) Cwnd(bytes) Context
2.17779 1440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.1783 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.17927 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.1805 10080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.18076 12960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.18154 15840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.18278 18720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.1835 21600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.184 24480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.18504 27360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.18601 30240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.1865 31680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.18754 33120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.18827 34560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.18903 36000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.1928 37440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.20029 38880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.2023 40320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.20353 41760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.20757 43200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.20854 44640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.21007 46080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.21129 47520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.21357 48960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.21429 50400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.22133 51840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.22808 53280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.24761 54720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.25716 56160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.27515 57600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.29799 59040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.4374 60480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.99835 1440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.99839 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.99912 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.99993 10080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.00066 12960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.00139 15840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.00255 18720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.0036 21600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.00438 24480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.00512 27360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.00592 30240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.00665 31680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.00781 34560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.00892 37440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.01119 38880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.01486 40320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.02245 41760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.02465 43200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.03672 44640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.05814 46080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.23127 47520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.26133 48960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.30258 50400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.90886 51840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
5.26417 53280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
5.38044 54720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
5.73739 56160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
5.84788 57600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
6.03798 59040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
6.18139 60480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
11.3681 1440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
11.3687 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
11.3695 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
11.3703 10080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
11.3711 12960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
11.3718 15840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
11.3727 18720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
11.3734 21600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
11.3747 24480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
