#Time(s) Rtt(s) Context
1.20031 0.143816 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20057 0.144589 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20105 0.14539 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20259 0.146217 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20331 0.147065 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20381 0.147806 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20485 0.148581 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20582 0.149383 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20631 0.15021 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20681 0.150934 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20809 0.151817 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20884 0.15259 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20931 0.153391 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21035 0.154217 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21158 0.155065 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21184 0.155807 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21231 0.156581 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21385 0.157384 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21458 0.158211 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21508 0.159059 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21612 0.159927 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21709 0.160811 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21758 0.161585 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21838 0.162387 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21935 0.163213 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22011 0.164062 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22058 0.164804 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22162 0.165578 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22284 0.166381 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22311 0.167208 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22365 0.167932 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22512 0.168816 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22584 0.169589 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22634 0.17039 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22738 0.171216 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22836 0.172064 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22884 0.172806 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22965 0.173581 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23062 0.174383 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23137 0.17521 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23185 0.175934 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23288 0.176692 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23411 0.177606 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23437 0.178405 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23515 0.179229 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23639 0.180076 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23711 0.180941 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23761 0.181699 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23865 0.182486 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23962 0.1833 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24011 0.184138 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24091 0.184871 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24189 0.185637 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24264 0.186432 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24318 0.187253 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24415 0.188097 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24537 0.188959 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24564 0.189715 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24641 0.1905 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24765 0.191313 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24838 0.192149 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24888 0.19288 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24992 0.193645 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25089 0.194439 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25138 0.195259 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25218 0.196102 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25315 0.196964 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
