#Time(s) Cwnd(bytes) Context
1.20279 105720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20302 105300 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20303 105900 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20303 106500 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20327 105660 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20327 106260 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20351 106860 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20351 107460 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20375 106620 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20375 107220 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20399 106380 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20399 106980 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20399 107580 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20423 106740 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20446 107340 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20447 104640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2047 105240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2047 105840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20494 104580 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20494 102240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20505 99360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20518 96480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20529 95040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20566 93600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20566 92160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20566 89280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2059 86400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20614 84960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20614 83520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20638 82080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20638 80640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20662 76320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20662 74880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20662 73440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21429 74880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21536 76320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21536 77760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2156 79200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21585 80640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21608 82080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21609 83520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21632 84960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21645 86400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21656 87840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21693 89280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21765 90720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21812 92160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21812 93600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21836 95040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2186 96480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21861 97920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21909 99360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21932 100800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21956 102240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21956 103680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22004 105120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22028 106560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22028 108000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22052 109440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22076 110880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22123 112320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22183 113760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22256 115200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2228 116640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2228 118080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22363 119520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22363 120960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22387 122400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22411 123840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22434 125280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22435 126720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22458 128160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22458 129600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22482 131040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22483 132480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22506 133920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22507 135360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2253 136800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22531 138240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22592 139680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22638 141120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22639 142560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22652 144000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22662 145440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22662 146880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22675 148320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22686 149760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22699 151200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2271 152640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22712 154080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22735 155520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22736 156960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22759 158400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22783 158600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22795 156960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22806 155920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22831 155507 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22831 156120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22831 155294 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22854 154880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22855 155494 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22855 154667 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
