#Time(s) Rtt(s) Context
1.20002 0.0999234 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20112 0.100433 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20159 0.100879 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20183 0.101269 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20254 0.0899854 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20279 0.0801122 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20302 0.0715982 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2059 0.0643984 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20638 0.0582236 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20662 0.0528206 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20686 0.0480931 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2071 0.0440814 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20734 0.0405713 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20758 0.0374998 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20781 0.0348124 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20866 0.0325858 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20938 0.0307626 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20985 0.0291673 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21009 0.0278964 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21033 0.0267843 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21057 0.0258113 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21106 0.0250849 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21249 0.0245743 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21429 0.0243775 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21453 0.0242053 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21525 0.0241796 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21549 0.0241572 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21597 0.0241375 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21621 0.0242453 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21837 0.0245897 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21861 0.024891 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21885 0.0251546 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21909 0.0255103 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21955 0.0258215 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22112 0.0263438 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22183 0.0268008 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
