#Time(s) Cwnd(bytes) Context
1.21289 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22694 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22894 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.23497 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2611 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.27516 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.27716 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.28319 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.30932 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.32338 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.32538 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.3314 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.35754 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.37159 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.37359 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.37962 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.40575 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.41981 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.42181 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.42784 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.45397 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.46803 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.47003 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.47605 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.50219 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.51624 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.51824 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.52427 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.5504 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.56446 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.56646 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.57249 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.59862 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.61268 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.61468 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.6207 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.64684 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.66089 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.66289 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.66892 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.69505 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.70108 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.70711 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.72519 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.73119 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.78338 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.79546 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.80951 10080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.81554 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.82157 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.82959 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.83362 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
