#Time(s) Cwnd(bytes) Context
1.21695 109440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.23502 110880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2491 112320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26113 113760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.44172 115200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.45373 116640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.46776 118080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.51596 119520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.53811 120960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.54612 122400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.56621 123840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.58228 125280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.59233 126720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.60836 128160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.63853 129600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.6485 131040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.65862 132480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.69072 133920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.6968 135360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.7068 136800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.71479 138240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.72076 139680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.72693 141120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.73699 142560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.74899 144000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.75689 145440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.76492 146880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.78304 148320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.79517 149760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.80121 151200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.81113 152640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.8213 154080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.82934 155520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.83724 156960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.84141 158400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.85136 159840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.85549 161280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.86145 162720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.86737 164160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.87348 165600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.88964 167040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.89762 168480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.90954 169920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.93767 171360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.94587 172800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.95583 174240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.95991 175680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.97189 177120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.98387 178560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.00613 180000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.01417 181440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.02018 182880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.02618 184320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.04012 185760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.05208 187200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.05618 188640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.06034 190080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.08239 191520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.08838 192960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.09846 194400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.11842 195840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.20084 197280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.20493 198720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.21285 200160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.21898 201600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.22903 203040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.23903 204480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.24507 205920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.24914 207360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.25715 208800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.26693 210240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
