#Time(s) Rtt(s) Context
1.21083 0.00959781 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21084 0.00914808 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21086 0.00875457 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21088 0.00841025 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2109 0.00810897 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21093 0.00784535 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21283 0.00786468 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21286 0.00788159 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21287 0.00789639 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2129 0.00790934 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21292 0.00792068 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21294 0.00793059 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21483 0.00793927 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21488 0.00794686 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2149 0.0079535 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21492 0.00795931 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21493 0.0079644 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21683 0.00796885 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21686 0.00797274 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21689 0.00797615 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2169 0.00797913 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21695 0.00798174 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21695 0.00798402 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21886 0.00823602 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21888 0.00845651 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21892 0.00864945 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21892 0.00881827 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21894 0.00896598 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21896 0.00909524 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22087 0.00945833 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22089 0.00977604 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22092 0.010054 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22094 0.0102973 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22097 0.0105101 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22098 0.0106964 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22289 0.0111093 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22292 0.0114706 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22294 0.0117868 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22296 0.0120635 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22298 0.0123055 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22488 0.0117673 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22491 0.0112964 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22493 0.0108844 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22494 0.0105238 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22497 0.0102083 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22498 0.0099323 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22688 0.00969076 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22692 0.00947941 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22693 0.00929449 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22696 0.00913268 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22697 0.00899109 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.227 0.0088672 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22888 0.0087588 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22893 0.00866395 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22895 0.00858096 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22897 0.00850834 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.229 0.00856979 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22902 0.00862357 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23091 0.00879562 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23094 0.00894617 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23096 0.0090779 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23099 0.00919316 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23101 0.00941901 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23102 0.00961664 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23292 0.00991456 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23294 0.0101752 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23297 0.0104033 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23299 0.0106029 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23302 0.0109026 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23303 0.0111647 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23492 0.0115191 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23497 0.0118292 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23499 0.0121006 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23501 0.012463 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23502 0.0127801 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23694 0.0131826 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23696 0.0135348 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23698 0.0138429 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.237 0.0142376 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23701 0.0145829 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
