#Time(s) Throughput(Mbps)
1.5 40.1203
1.6 149.184
1.7 159.437
1.8 172.339
1.9 194.803
2 193.766
2.1 247.104
2.2 239.501
2.3 239.155
2.4 287.309
2.5 298.598
2.6 316.224
2.7 332.698
2.8 357.581
2.9 374.63
3 67.1616
3.1 0
3.2 0
3.3 0
3.4 0
3.5 0
3.6 0
3.7 0
3.8 0
3.9 0
4 16.8192
4.1 0
4.2 32.7168
4.3 113.357
4.4 112.55
4.5 133.747
4.6 140.429
4.7 154.944
4.8 161.28
4.9 151.373
5 174.413
5.1 203.213
5.2 202.867
5.3 211.162
5.4 216.806
5.5 217.382
5.6 245.491
5.7 236.966
5.8 234.547
5.9 267.379
6 264.384
6.1 272.448
6.2 278.669
6.3 283.968
6.4 263.232
6.5 327.859
6.6 302.976
6.7 308.621
6.8 309.888
6.9 307.814
7 324.864
7.1 329.587
7.2 330.97
7.3 334.771
7.4 341.798
7.5 335.462
7.6 345.715
7.7 350.438
7.8 330.509
7.9 386.15
8 349.056
8.1 364.838
8.2 348.941
8.3 340.877
8.4 383.731
8.5 388.454
8.6 377.626
8.7 374.63
8.8 378.317
8.9 362.765
9 381.542
9.1 46.4256
9.2 0
9.3 0
9.4 0
9.5 0
9.6 0
9.7 0
9.8 0
9.9 0
