#Time(s) Throughput(Mbps)
1.5 1.48224
1.6 3.6864
1.7 3.9168
1.8 4.032
1.9 3.9168
2 3.6864
2.1 3.8016
2.2 4.1472
2.3 3.8016
2.4 3.9168
2.5 3.9168
2.6 4.032
2.7 3.6864
2.8 3.9168
2.9 4.032
3 3.9168
3.1 3.8016
3.2 5.5296
3.3 4.8384
3.4 3.8016
3.5 4.1472
3.6 3.6864
3.7 3.9168
3.8 3.9168
3.9 4.032
4 3.6864
4.1 3.9168
4.2 4.032
4.3 3.9168
4.4 3.6864
4.5 3.8016
4.6 4.1472
4.7 3.8016
4.8 3.3408
4.9 4.9536
5 4.032
5.1 3.9168
5.2 3.6864
5.3 4.1472
5.4 3.9168
5.5 3.6864
5.6 4.032
5.7 3.9168
5.8 3.9168
5.9 3.5712
6 4.1472
6.1 4.9536
6.2 6.4512
6.3 5.8752
6.4 6.6816
6.5 5.8752
6.6 5.9904
6.7 6.5664
6.8 5.9904
6.9 6.4512
7 6.1056
7.1 6.336
7.2 6.1056
7.3 6.336
7.4 6.1056
7.5 6.4512
7.6 5.8752
7.7 6.6816
7.8 5.8752
7.9 6.336
8 6.2208
8.1 6.4512
8.2 6.1056
8.3 5.9904
8.4 6.5664
8.5 5.8752
8.6 6.4512
8.7 6.1056
8.8 6.336
8.9 6.1056
9 6.1056
9.1 6.336
9.2 6.2208
9.3 6.2208
9.4 6.4512
9.5 6.1056
9.6 5.8752
9.7 6.6816
9.8 5.8752
9.9 6.4512
