#Time(s) Cwnd(bytes) Context
1.21491 73734 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21491 74410 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21492 75086 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21686 75380 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21686 76056 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21686 76732 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21687 77026 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21688 77702 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21689 78378 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21689 78672 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2169 79347 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21691 80023 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21691 80317 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21692 80993 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21693 81669 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21886 81963 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21887 82639 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21887 83315 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21889 83609 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21889 84285 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21889 84960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2189 84196 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21891 83814 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21891 83432 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21893 82668 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21894 82286 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22086 81904 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22089 77760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22089 76320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22089 74880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2209 72000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2209 70560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22091 69120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22092 66240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22093 64800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22093 63360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22094 60480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22095 59040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22289 56160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22289 54720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2229 51840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22292 53280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.33335 54720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.35948 53920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.35949 54560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.35949 54800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.35949 56880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.35951 57520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.35952 58160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36146 58400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36146 60480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36148 61120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36148 61760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36148 62000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36148 64080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.3615 64720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36151 65360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36151 65600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36151 67680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36152 67280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36347 66880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36347 66080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36347 68160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36348 67760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36349 67360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36349 66560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36349 68640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36351 68240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36352 67840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36352 67040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36352 69120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36354 68720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36548 68320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36548 67520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36548 69600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36549 69200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.3655 68800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36551 68000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36551 70080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36552 69680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36552 69280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36553 68480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36553 68080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36554 67680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36748 66880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36748 66480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36748 37440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36748 38880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.50799 40320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.53212 39545 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.53214 39822 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.53214 41927 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.53409 42591 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.53409 43256 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.5341 43533 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.5341 45637 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.53412 46302 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.53413 46967 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.53414 47244 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.53414 49348 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.53609 50013 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.53609 49625 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.5361 48850 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.5361 50954 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.53611 50567 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.53611 50179 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.53614 49404 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.53614 51508 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.53615 51120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.53615 50733 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.5381 49957 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.5381 52062 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.53812 51674 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.53812 51287 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.53815 50511 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.53815 52616 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.53816 52228 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.53816 51840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.54009 27360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.54009 28800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.6064 28038 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.6064 30410 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.60641 31342 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.60643 32273 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.60836 32951 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.60836 35323 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.60839 36255 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.60841 37186 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.60843 36678 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.60843 39050 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.60845 38796 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.61039 38542 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.61041 38033 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.61041 40405 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.61043 40151 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.61045 39897 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.61239 39389 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.61239 41760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.61239 41506 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.61243 41252 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.61243 40744 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.61244 20160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.61244 21600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.61843 20880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.61846 21840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.61846 22800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.62046 23520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.62246 24480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.62246 24240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.6225 23760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.62444 23520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.62444 23280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.62446 22800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.62449 22560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.62449 22320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.6245 21840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.6245 14400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.6245 15840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.67667 17280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.72087 18720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.77707 20160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.81324 21600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.83535 20880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.83535 23280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.83535 24240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.83535 25200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.83735 25920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.83735 28320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.83735 28080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.83735 27840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.83935 27360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
