#Time(s) Rtt(s) Context
1.20078 0.00878953 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20081 0.00869084 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20082 0.00860448 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20281 0.00877892 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20282 0.00893156 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20284 0.00906511 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20286 0.00918197 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20481 0.00953423 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20482 0.00984245 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20484 0.0101121 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20486 0.0103481 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20487 0.0105546 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20683 0.0109853 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20683 0.0113621 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20685 0.0116919 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20687 0.0119804 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20884 0.0124828 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20885 0.0129225 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20889 0.0133072 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21083 0.0138938 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22094 0.012907 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22289 0.0122937 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2229 0.011757 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22292 0.0112873 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22294 0.0108764 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2249 0.0107669 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2249 0.010671 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22493 0.0105871 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22493 0.0105137 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22495 0.0104495 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22691 0.0101433 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22693 0.00987541 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22695 0.00964099 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22893 0.00943586 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23093 0.00950638 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
