#Time(s) Throughput(Mbps)
1.5 23.8003
1.6 41.3568
1.7 23.2704
1.8 22.5792
1.9 22.0032
2 18.7776
2.1 21.4272
2.2 19.4688
2.3 19.6992
2.4 20.736
2.5 21.5424
2.6 20.2752
2.7 20.6208
2.8 19.584
2.9 19.4688
3 22.5792
3.1 22.0032
3.2 23.9616
3.3 28.1088
3.4 24.768
3.5 22.9248
3.6 16.9344
3.7 15.0912
3.8 16.5888
3.9 15.8976
4 16.0128
4.1 19.3536
4.2 24.4224
4.3 23.616
4.4 13.1328
4.5 20.0448
4.6 19.6992
4.7 21.0816
4.8 26.3808
4.9 30.4128
5 34.56
5.1 33.0624
5.2 21.5424
5.3 23.2704
5.4 18.432
5.5 18.432
5.6 20.16
5.7 21.6576
5.8 23.7312
5.9 21.7728
6 20.16
6.1 22.5792
6.2 22.0032
6.3 19.1232
6.4 22.2336
6.5 27.1872
6.6 30.8736
6.7 34.56
6.8 31.5648
6.9 21.6576
7 22.6944
7.1 20.0448
7.2 22.0032
7.3 19.3536
7.4 24.4224
7.5 20.9664
7.6 17.28
7.7 18.0864
7.8 20.2752
7.9 24.8832
8 29.4912
8.1 30.8736
8.2 32.6016
8.3 23.3856
8.4 18.8928
8.5 23.9616
8.6 28.1088
8.7 31.3344
8.8 36.7488
8.9 24.6528
9 18.8928
9.1 23.04
9.2 29.0304
9.3 24.768
9.4 6.1056
9.5 0
9.6 0
9.7 0
9.8 0
9.9 0
