#Time(s) Cwnd(bytes) Context
1.20083 109440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22292 110880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.23096 112320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24097 113760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24901 115200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.27313 116640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.28921 118080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.30927 119520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.3715 120960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.38758 122400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.40565 123840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.42178 125280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.44184 126720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.45387 128160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.46195 129600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.47596 131040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.48401 132480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.50811 133920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.56233 135360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.59248 136800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.59852 138240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.63065 139680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.64069 141120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.64866 142560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
