#Time(s) Rtt(s) Context
1.20079 0.00908567 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20081 0.00894996 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20082 0.00883121 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20083 0.00872731 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20085 0.0086364 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21289 0.00830685 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2129 0.00801849 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21291 0.00776618 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21485 0.00779541 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21486 0.00782098 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21488 0.00784336 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21489 0.00786294 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2149 0.00788007 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21491 0.00789506 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21686 0.00815818 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21687 0.0083884 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21689 0.00858985 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2169 0.00876612 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21691 0.00892035 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21693 0.00905531 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21887 0.0094234 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21889 0.00974547 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2189 0.0100273 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21891 0.0102739 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21893 0.0104896 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21894 0.0106784 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22089 0.0110936 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2209 0.0114569 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22092 0.0117748 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22093 0.012053 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22094 0.0122963 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22095 0.0125093 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22289 0.0129456 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2229 0.0133274 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22292 0.0136615 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22293 0.0139538 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22294 0.0142096 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22489 0.0134334 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2249 0.0127542 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22492 0.0121599 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22493 0.0116399 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22494 0.011185 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22495 0.0107868 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2269 0.0104385 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
