#Time(s) Rtt(s) Context
1.20112 0.115426 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21036 0.120623 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21115 0.125295 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21381 0.129633 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21978 0.134179 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22077 0.138282 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23118 0.143246 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2321 0.147716 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23338 0.151751 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23418 0.155407 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24847 0.160356 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25413 0.165437 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26049 0.170632 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26625 0.175928 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.27692 0.155062 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.28261 0.137554 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.28896 0.122985 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.30512 0.112362 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.30642 0.103192 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.31277 0.0959177 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.33273 0.092053 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.33759 0.0892964 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.34315 0.0876343 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.34733 0.0866801 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.35168 0.086345 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.35565 0.0865519 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.36517 0.0879829 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.3662 0.0893601 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.38661 0.0930651 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.38839 0.0965569 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.39217 0.100112 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.39331 0.103348 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.39418 0.106305 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.40487 0.110142 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.4153 0.114874 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.42348 0.120015 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.43027 0.125388 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.43291 0.130339 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.44071 0.135672 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.44547 0.140963 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.44774 0.145843 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.45113 0.150612 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.45568 0.155286 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.45965 0.159875 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.46362 0.164391 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.46815 0.168967 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.47123 0.173346 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.47757 0.177928 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.48347 0.182687 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.50173 0.189101 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.51154 0.195963 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.51292 0.202093 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.51654 0.207956 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.52027 0.213587 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.52078 0.218513 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.52475 0.223324 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.53121 0.228409 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.5329 0.232983 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.53622 0.237485 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.53933 0.241799 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.54063 0.245699 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.55196 0.216112 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.56639 0.192098 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.56949 0.171461 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.57 0.153528 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.57179 0.137962 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.57477 0.124717 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.58734 0.114752 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.58826 0.106158 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.59165 0.0990134 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.59541 0.0932617 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.59652 0.088354 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.60335 0.0849348 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.61467 0.0833179 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.61833 0.0824032 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.62131 0.0737278 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.62348 0.0657618 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.62429 0.0589166 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.62499 0.052802 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.63291 0.0484518 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.63391 0.0447703 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.63813 0.042174 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.64238 0.0404022 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.64635 0.039352 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.64733 0.038558 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.64775 0.0378632 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.65477 0.0381303 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.65544 0.038489 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
