#Time(s) Cwnd(bytes) Context
1.20499 93600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24415 95040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.27092 96480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.30304 97920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.41037 99360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.45109 100800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.46809 102240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.4856 103680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.49909 105120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.56135 106560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.58293 108000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.59418 109440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.73594 110880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.75103 112320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.78524 113760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.79937 115200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.93565 116640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.9621 118080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.04359 119520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.06357 120960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.07312 122400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.10591 123840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.1489 125280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.18699 126720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.20974 128160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.22775 129600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.25307 131040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.26279 132480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.29119 133920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.29852 135360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.31002 136800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.32852 138240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.38105 139680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.39029 141120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.42599 142560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.49702 144000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.51037 145440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
