#Time(s) Cwnd(bytes) Context
1.20021 116640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20178 118080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20344 119520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20491 120960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20595 122400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20674 123840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20771 125280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20842 126720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20975 128160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2117 129600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21253 131040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21385 132480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21544 133920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21691 135360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21875 136800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21975 138240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22058 139680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22198 141120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22223 142560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22369 144000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22471 145440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22613 146880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22757 148320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22923 149760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.23075 151200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.23174 152640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2335 154080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.23433 155520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.23569 156960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.23621 158400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.23763 159840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.23841 161280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24011 162720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24176 164160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24275 165600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24455 167040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24633 168480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24717 169920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24864 171360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24964 172800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25041 174240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25108 175680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25211 177120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25363 178560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25502 180000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25683 181440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25917 182880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26065 184320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26242 185760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26308 187200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26502 188640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26696 190080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26778 191520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26908 192960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.27064 194400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.27265 195840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.27534 197280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.27702 198720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.27786 200160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.28116 201600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2816 203040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.28316 204480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.28488 205920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2863 207360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.28642 208800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.28643 210240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.28753 211680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.28902 213120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.28942 214560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.28986 216000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.29163 217440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.29367 218880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.29523 220320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.29688 221760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.29732 223200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.29852 224640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.30103 226080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.30187 227520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.30351 228960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.30508 230400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.30745 231840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.30896 233280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.31067 234720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.31232 236160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.31397 237600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.31447 239040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.31563 240480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.31728 241920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.31916 243360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
