#Time(s) Rtt(s) Context
1.20941 0.0646147 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23597 0.0621628 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2471 0.0558925 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26383 0.0524059 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.27495 0.0507302 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.29168 0.0513889 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.3028 0.0533403 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.32041 0.0572978 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.33066 0.0620105 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.34608 0.0575092 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.35939 0.0551956 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.38507 0.0564211 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.39837 0.0591185 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.42318 0.0646037 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.43177 0.0704032 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.45191 0.0779778 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.47075 0.0869806 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.4909 0.097358 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.50974 0.108813 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.52989 0.121337 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.54873 0.13467 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.56327 0.119711 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.57746 0.108372 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.60743 0.100325 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.61855 0.0891598 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.65281 0.0836398 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.65841 0.0766848 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.68154 0.0734742 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.69267 0.065665 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.71027 0.0610818 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.72053 0.0569466 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.73253 0.0525783 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.75479 0.051506 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
4.99335 0.0714427 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
5.02208 0.0925124 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
5.05081 0.114448 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
5.07954 0.103767 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
7.55924 0.117171 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
7.60341 0.108025 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
7.61453 0.0958968 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
7.64879 0.0895347 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
7.65438 0.0818429 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
7.67664 0.0778625 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
7.69424 0.0766297 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
7.71563 0.078176 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
7.73322 0.081779 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
