#Time RTT(s)
0.0 0.00764341
1.50498 0.012813
1.51101 0.0120864
1.51703 0.0113256
1.52306 0.0106599
1.52909 0.0108274
1.53511 0.010224
1.54114 0.00969597
1.54717 0.00923397
1.55319 0.00882972
1.55922 0.00922601
1.56605 0.0104478
1.57207 0.0122668
1.5781 0.0114834
1.58412 0.011548
1.59095 0.0123545
1.59698 0.0138102
1.60221 0.0158339
1.60823 0.0183547
1.61426 0.0168103
1.63314 0.017834
1.63917 0.0163548
1.64519 0.0150604
1.65122 0.0139279
1.65724 0.0129369
1.68135 0.0150698
1.68217 0.0170611
1.68817 0.0195534
1.6942 0.0178593
1.70023 0.0163768
1.70626 0.0150797
1.71228 0.0139448
1.71831 0.0129517
1.72433 0.0120827
1.73036 0.0113224
1.73639 0.0106571
1.76732 0.0139499
1.77335 0.0175812
1.77937 0.0161335
1.7854 0.0148669
1.79142 0.0137585
1.79745 0.0127887
1.80348 0.0119401
1.8095 0.0111976
1.81553 0.0105479
1.83441 0.0123544
1.84044 0.0146851
1.84646 0.0174745
1.84649 0.0199152
1.85249 0.0228008
1.85251 0.0253257
1.85852 0.028285
1.87659 0.0331243
1.88262 0.0297338
1.88864 0.0267671
1.89467 0.0241712
1.9007 0.0218998
1.90672 0.0199123
1.91358 0.0190483
1.91958 0.0190422
1.9256 0.019787
1.92563 0.0204386
1.93166 0.0186338
1.93768 0.0170545
1.94371 0.0156727
1.94973 0.0144636
1.95576 0.0134057
1.96779 0.01398
1.96859 0.0146075
1.97462 0.0135315
1.98667 0.0125901
1.99269 0.0117663
1.99872 0.0110455
2.00475 0.0104148
2.01682 0.011363
2.01763 0.0123176
2.02365 0.0115279
2.04171 0.0130869
2.04773 0.0152011
2.05376 0.0178009
2.05979 0.0163258
2.06581 0.0157851
2.06584 0.0153119
2.07186 0.015648
2.07267 0.016067
2.07869 0.0148086
2.08472 0.0144575
2.09072 0.0149003
2.09675 0.0160378
2.12088 0.0200331
2.1269 0.0242789
2.12771 0.0281191
2.13293 0.0321042
2.13373 0.0357162
2.13895 0.0395016
2.14498 0.0353139
2.151 0.0317747
2.15703 0.0285529
2.16306 0.0257337
2.1948 0.027142
2.20002 0.0291243
2.20604 0.0316087
2.20682 0.0337826
2.21809 0.0303098
2.22412 0.0272711
2.24903 0.0277372
2.25506 0.02502
2.26109 0.0226425
2.26711 0.0205622
2.27314 0.0187419
2.27916 0.0171492
2.28519 0.0157556
2.29122 0.0145361
2.29724 0.0134691
2.30327 0.0125355
2.3093 0.0124685
2.31532 0.01166
2.31612 0.0110775
2.32215 0.0104428
2.32817 0.00988743
2.3342 0.0094015
2.34023 0.00897632
2.34625 0.00860427
2.35228 0.00827874
2.35831 0.0079939
2.36433 0.00774466
2.40732 0.0129016
2.40734 0.0174139
2.41337 0.0159871
2.4194 0.0147388
2.42542 0.0136464
2.43145 0.0126906
2.43747 0.0118543
2.45633 0.0134975
2.46156 0.0155603
2.46239 0.0174903
2.4684 0.019929
2.47441 0.0228129
2.47443 0.0253363
2.48046 0.0229192
2.48649 0.0208043
2.49251 0.0189538
2.49854 0.0173346
2.50458 0.0159177
2.5106 0.014678
2.51663 0.0135933
2.52265 0.0126441
2.52868 0.0118136
2.53471 0.0110869
2.54073 0.010451
2.54676 0.00989465
2.55278 0.00940782
2.55881 0.00898184
2.56484 0.00860911
2.57086 0.00828297
2.57689 0.0079976
2.60861 0.0117479
2.61987 0.0164044
2.6259 0.0212289
2.63193 0.0193253
2.63795 0.0176596
2.64398 0.0162021
2.65 0.0158019
2.65081 0.0154516
2.65684 0.0158952
2.66286 0.0146583
2.66889 0.013576
2.67492 0.012629
2.69299 0.0140504
2.69378 0.0154191
2.69981 0.0142417
2.70583 0.0132115
2.71188 0.01306
2.7179 0.0136775
2.71869 0.0143428
2.72393 0.01555
2.74882 0.0197312
2.75485 0.0180148
2.76087 0.016513
2.78578 0.0183239
2.79102 0.0206584
2.79705 0.0234511
2.80307 0.0212697
2.8091 0.019361
2.81513 0.0176909
2.82195 0.0169795
2.82797 0.0171071
2.83399 0.0179687
2.83401 0.0188476
2.84003 0.0203666
2.84082 0.0216958
2.84684 0.0197338
2.86414 0.0202671
2.87017 0.0184837
2.87619 0.0169233
2.88222 0.0155578
2.88825 0.0143631
2.89427 0.0133177
2.9003 0.012403
2.90633 0.0116026
2.91235 0.0109023
2.91838 0.0102895
2.92441 0.00975332
2.93043 0.00928416
2.93646 0.00887364
2.94248 0.00851443
2.96137 0.0105751
2.96739 0.0100032
2.97342 0.00950283
2.97945 0.00906498
3.02243 0.0140569
3.02846 0.0130497
3.03448 0.0121685
3.04051 0.0121475
3.04654 0.012879
3.05256 0.0142691
3.05859 0.0162355
3.06461 0.0187061
3.07064 0.0171178
3.07667 0.0157281
3.08872 0.0145121
3.09475 0.0134481
3.10077 0.0125171
3.1068 0.0117024
3.11282 0.0109896
3.11885 0.0103659
3.12488 0.00982018
3.1309 0.00934265
3.15661 0.0121748
3.16184 0.015278
3.16264 0.0181182
3.16786 0.0212284
3.16867 0.0240749
3.19277 0.0295655
3.19879 0.0266198
3.20482 0.0240424
3.21244 0.0217871
3.21847 0.0198137
3.22893 0.019337
3.22973 0.0190448
3.23576 0.0195392
3.24098 0.0205968
3.24701 0.0223972
3.25303 0.0203476
3.25906 0.0185541
3.26508 0.0169849
