#Time(s) Cwnd(bytes) Context
1.21113 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.23036 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24241 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26164 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2737 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.29292 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.30498 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.32421 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.33626 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.35549 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36754 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.38677 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.39882 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.41805 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.4301 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.44933 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.46139 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.48061 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.49267 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.5119 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.52395 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.54318 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.55523 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.57446 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.58651 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.60574 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.61779 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.63702 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.64908 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.6683 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.68036 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.69959 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.71164 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.73087 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.74292 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.76215 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.7742 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.79343 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.80548 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.82471 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.83677 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.85599 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.86805 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.88728 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.89933 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.91856 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.93061 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.94984 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.96189 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.98112 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.99317 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.0124 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.02446 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.04368 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.05574 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.07497 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.08702 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.10625 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.1183 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.13753 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.14958 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.16881 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.18086 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.20009 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.21215 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.23137 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.24343 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.26265 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.27471 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.29394 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.30599 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.32522 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.33727 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.3565 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.36855 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.38778 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.39983 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.41906 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
