#Time(s) Rtt(s) Context
1.21716 0.0266457 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23036 0.02569 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24844 0.0232288 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26164 0.0227002 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.27972 0.0206126 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.29292 0.0204111 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.311 0.0187347 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.32421 0.0188928 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.34229 0.0172812 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.35549 0.0174961 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.37357 0.0160591 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.38677 0.0164267 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.40485 0.0151234 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.41805 0.0157329 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.43613 0.0145163 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.44933 0.0150768 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.46741 0.0139422 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.48061 0.0145744 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.49869 0.0135026 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.5119 0.0141898 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.52998 0.0131661 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.54318 0.0140203 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.56126 0.0130178 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.57446 0.0137655 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.59254 0.0127948 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.60574 0.0135705 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.62382 0.0126242 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.63702 0.0135462 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.6551 0.0126029 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.6683 0.0134025 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.68638 0.0124772 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.69959 0.0132926 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.71767 0.012381 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.73087 0.0132084 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.74895 0.0123073 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.76215 0.0132689 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.78023 0.0123603 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.79343 0.0131903 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.81151 0.0122915 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.82471 0.01313 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.84279 0.0122388 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.85599 0.0130839 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.87407 0.0121984 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.88728 0.0130486 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.90535 0.0121676 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.91856 0.0130216 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.93664 0.0121439 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.94984 0.0130009 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.96792 0.0121258 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.98112 0.0131101 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.9992 0.0122213 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.0124 0.0130687 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.03048 0.0121851 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.04368 0.0130369 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.06176 0.0121573 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.07497 0.0130127 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.09304 0.0121361 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.10625 0.0129941 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.12433 0.0121198 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.13753 0.0129798 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.15561 0.0121073 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.16881 0.0129689 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.18689 0.0120978 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.20009 0.0130856 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.21817 0.0121999 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.23137 0.0130499 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.24945 0.0121687 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.26265 0.0130226 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.28073 0.0121448 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.29394 0.0130017 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.31202 0.0122515 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.32522 0.01322 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.3433 0.0123175 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.3565 0.0131528 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.37458 0.0122587 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.38778 0.0131014 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.40586 0.0122137 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.41906 0.013187 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.43714 0.0122886 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.45034 0.0131275 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.46842 0.0122366 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.48163 0.013082 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.49971 0.0121968 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.51291 0.0130472 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.53099 0.0121663 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.54419 0.0131455 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
2.56227 0.0122523 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
