#Time(s) Throughput(Mbps)
1.5 0.95232
1.6 2.4192
1.7 2.7648
1.8 2.4192
1.9 2.4192
2 2.88
2.1 2.4192
2.2 2.7648
2.3 2.4192
2.4 2.4192
2.5 2.88
2.6 2.4192
2.7 2.7648
2.8 2.4192
2.9 2.4192
3 2.88
3.1 2.4192
3.2 2.7648
3.3 2.4192
3.4 2.4192
3.5 2.88
3.6 2.4192
3.7 2.7648
3.8 2.4192
3.9 2.4192
4 2.88
4.1 2.4192
4.2 2.7648
4.3 2.4192
4.4 2.4192
4.5 2.88
4.6 2.4192
4.7 2.7648
4.8 2.4192
4.9 2.4192
5 2.88
5.1 2.4192
5.2 2.4192
5.3 2.7648
5.4 2.4192
5.5 2.88
5.6 2.4192
5.7 2.4192
5.8 2.7648
5.9 2.4192
6 2.4192
6.1 2.88
6.2 2.4192
6.3 2.7648
6.4 2.4192
6.5 2.4192
6.6 2.88
6.7 2.4192
6.8 2.7648
6.9 2.4192
7 2.4192
7.1 2.88
7.2 2.4192
7.3 2.7648
7.4 2.4192
7.5 2.4192
7.6 2.88
7.7 2.4192
7.8 2.7648
7.9 2.4192
8 2.4192
8.1 2.88
8.2 2.4192
8.3 2.7648
8.4 2.4192
8.5 2.4192
8.6 2.88
8.7 2.4192
8.8 2.7648
8.9 2.4192
9 2.4192
9.1 2.88
9.2 2.4192
9.3 2.7648
9.4 2.4192
9.5 2.4192
9.6 2.88
9.7 2.4192
9.8 2.7648
9.9 2.4192
