#Time(s) Cwnd(bytes) Context
1.23105 50400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26678 51840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.302 53280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.33931 54720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.35971 56160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.38291 57600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.40705 59040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.4357 60480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.47192 61920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.49487 63360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.52126 64800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.54722 66240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.57827 67680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.60439 69120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.62538 70560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.64686 72000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.67519 73440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.69107 74880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.71717 76320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.73978 77760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.76301 79200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.78063 80640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.79883 82080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.81841 83520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.83812 84960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.85659 86400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.87124 87840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.89543 89280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.91351 90720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.93619 92160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.95566 93600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.97679 95040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
