#Time(s) Rtt(s) Context
1.20329 0.0220531 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20466 0.0201715 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20669 0.018775 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20906 0.0171782 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20929 0.0157809 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21094 0.0145583 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21651 0.0142385 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21857 0.0142087 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21989 0.0143076 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22111 0.0146441 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22228 0.0150636 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.223 0.0155557 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22324 0.0159862 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22389 0.0163629 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22412 0.0168176 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22592 0.0173404 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22876 0.0181728 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22902 0.0190262 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22991 0.0197729 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23014 0.0205513 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23062 0.0212324 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23105 0.0219534 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23455 0.0229592 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23455 0.0238393 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23641 0.0248594 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23642 0.025752 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24058 0.027033 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24082 0.0281538 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24402 0.0255096 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2466 0.0230709 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24754 0.021062 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24913 0.0191793 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25005 0.0175319 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25356 0.0160904 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25473 0.0149541 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25521 0.0140848 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25631 0.0134492 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25721 0.0130181 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2589 0.0127658 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26006 0.0127951 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26076 0.0128207 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26118 0.0129681 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26124 0.0130971 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26167 0.01321 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26211 0.0134337 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26323 0.0137545 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2663 0.0144102 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26678 0.0149839 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26745 0.0156109 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26813 0.0162846 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26928 0.016999 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.27186 0.0178741 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.27211 0.0187648 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.27257 0.0195442 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.27281 0.0202262 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.27812 0.0215729 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.27882 0.0227513 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.27906 0.0239074 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.27999 0.024919 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.28277 0.0261791 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.28416 0.0275317 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.28485 0.0287153 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.28488 0.0258758 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.28622 0.0233914 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.28994 0.0215924 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.29018 0.0201434 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.29087 0.0183755 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.29138 0.0168285 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.29252 0.015475 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2962 0.0147906 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.29783 0.0143168 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.29807 0.0140272 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.29879 0.0137738 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
