#Time(s) Throughput(Mbps)
1.5 10.1914
1.6 47.6928
1.7 50.688
1.8 55.7568
1.9 60.8256
2 68.4288
2.1 73.8432
2.2 80.7552
2.3 83.4048
2.4 89.6256
2.5 96.768
2.6 98.3808
2.7 92.0448
2.8 90.6624
2.9 92.16
3 91.9296
3.1 83.6352
3.2 85.824
3.3 85.7088
3.4 88.9344
3.5 92.5056
3.6 96.192
3.7 95.2704
3.8 97.1136
3.9 97.2288
4 97.92
4.1 95.5008
4.2 94.1184
4.3 84.096
4.4 74.88
4.5 76.1472
4.6 76.3776
4.7 78.2208
4.8 82.368
4.9 79.8336
5 80.5248
5.1 79.488
5.2 83.1744
5.3 86.1696
5.4 85.1328
5.5 86.7456
5.6 85.9392
5.7 86.4
5.8 85.5936
5.9 89.9712
6 87.0912
6.1 89.3952
6.2 93.888
6.3 89.7408
6.4 92.6208
6.5 92.9664
6.6 93.4272
6.7 94.6944
6.8 93.6576
6.9 95.04
7 94.3488
7.1 75.9168
7.2 69.2352
7.3 69.696
7.4 73.3824
7.5 74.6496
7.6 76.032
7.7 82.7136
7.8 80.9856
7.9 77.8752
8 83.7504
8.1 85.7088
8.2 86.2848
8.3 87.552
8.4 88.128
8.5 88.704
8.6 89.9712
8.7 91.4688
8.8 92.16
8.9 88.8192
9 94.3488
9.1 94.1184
9.2 95.9616
9.3 96.6528
9.4 92.0448
9.5 96.6528
9.6 93.888
9.7 96.0768
9.8 93.888
9.9 95.8464
