#Time(s) Cwnd(bytes) Context
1.23105 48960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26678 50400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.30200 51840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.33931 53280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.35971 54720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.38291 56160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.40705 57600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.43570 59040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.47192 60480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.49487 61920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.52126 63360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.54722 64800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.57827 66240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.60439 67680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.62538 69120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.64686 70560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.67519 72000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.69107 73440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.71717 74880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.73978 76320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.76301 77760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.78063 79200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.79883 80640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.81841 82080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.83812 83520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.85659 84960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.87124 86400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.89543 87840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.91351 89280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.93619 90720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.95566 92160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.97679 93600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.99393 95040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.01262 96480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.03541 97920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.05332 99360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.07141 100800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.09080 102240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.11475 103680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.12680 105120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.14675 106560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.16411 108000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.17888 109440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.19670 110880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.21486 112320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.22763 113760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.24495 115200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.25749 116640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.27143 118080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.28654 119520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.29764 120960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.30929 122400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.32172 123840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.33598 125280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.34856 126720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.36147 128160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.37389 129600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.38814 131040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.40093 132480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.40978 133920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.42375 135360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.43472 136800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.44863 138240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.47104 139680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.48626 141120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.50068 142560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.51861 144000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.53487 145440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.55208 146880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.57121 148320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.60180 149760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.65534 151200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.70650 152640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.73972 154080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.77749 155520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.82172 156960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.88100 158400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.92307 159840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.94445 149760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.94446 146880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.94458 144000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.94511 144720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.94546 145440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.94588 146160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.94589 146880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.94618 147600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.94620 148320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.94621 149040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.94636 148320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.94707 147600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.94708 146880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.94709 146160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.94721 145440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.94745 144720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.94774 144000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.94775 143280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.94790 142560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.94802 141840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.94827 141120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.94828 140400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.94829 139680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.94830 138960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.01177 139680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.06127 141120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.10160 142560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.15310 144000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.19150 145440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.24274 146880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.29763 148320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.33857 149760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.39176 151200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.45238 152640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.51048 154080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.54617 155520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.60975 156960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.68521 158400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.72000 159840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.79822 161280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.86850 162720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.93564 164160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.00762 165600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.09989 167040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.17949 168480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.23338 159840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.23339 156960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.23339 154080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.23340 154800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.23367 155520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.23369 156240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.23370 156960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.23423 157680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.23432 158400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
