#Time(s) Rtt(s) Context
1.21212 0.0343043 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21604 0.0328913 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21881 0.0319049 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22435 0.0317918 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23599 0.0330678 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23738 0.0344343 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24226 0.03088 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24829 0.02777 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24943 0.0250488 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24944 0.0226677 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26034 0.0205842 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26149 0.0187612 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26751 0.017166 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.28071 0.0173953 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.29392 0.0192209 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.29994 0.0215683 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.31085 0.0249972 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.31199 0.0281226 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.31573 0.0313573 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.31802 0.0345626 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.32176 0.0377423 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.32314 0.0407745 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.3252 0.0436777 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.33611 0.047593 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.34213 0.0517688 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.34816 0.0561727 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.34818 0.0499011 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.34818 0.0444135 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.35419 0.0396118 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
