#Time(s) Throughput(Mbps)
1.5 7.81056
1.6 28.9152
1.7 10.2528
1.8 2.6496
1.9 2.5344
2 1.9584
2.1 2.4192
2.2 2.6496
2.3 2.304
2.4 1.9584
2.5 2.7648
2.6 2.5344
2.7 2.1888
2.8 2.6496
2.9 2.1888
3 2.5344
3.1 1.728
3.2 3.1104
3.3 2.1888
3.4 2.1888
3.5 2.6496
3.6 2.1888
3.7 2.5344
3.8 1.728
3.9 3.1104
4 2.1888
4.1 2.4192
4.2 2.88
4.3 2.4192
4.4 2.7648
4.5 2.4192
4.6 2.1888
4.7 2.6496
4.8 2.1888
4.9 2.5344
5 2.1888
5.1 2.6496
5.2 2.1888
5.3 2.4192
5.4 2.88
5.5 2.1888
5.6 2.0736
5.7 2.1888
5.8 2.9952
5.9 1.8432
6 2.4192
6.1 2.88
6.2 2.1888
6.3 2.0736
6.4 2.1888
6.5 2.9952
6.6 1.8432
6.7 2.5344
6.8 2.7648
6.9 2.1888
7 2.4192
7.1 2.7648
7.2 2.4192
7.3 2.4192
7.4 2.9952
7.5 1.9584
7.6 2.7648
7.7 2.5344
7.8 1.9584
7.9 2.4192
8 2.6496
8.1 2.304
8.2 1.9584
8.3 2.7648
8.4 2.5344
8.5 1.9584
8.6 2.4192
8.7 2.6496
8.8 2.4192
8.9 1.8432
9 2.7648
9.1 2.5344
9.2 2.1888
9.3 2.6496
9.4 2.1888
9.5 2.5344
9.6 1.728
9.7 3.1104
9.8 2.1888
9.9 2.4192
