#Time(s) Throughput(Mbps)
1.5 2.84928
1.6 7.9488
1.7 8.1792
1.8 8.064
1.9 8.5248
2 7.8336
2.1 8.4096
2.2 7.9488
2.3 8.1792
2.4 8.4096
2.5 8.5248
2.6 7.1424
2.7 7.0272
2.8 7.6032
2.9 7.488
3 7.2576
3.1 7.488
3.2 7.2576
3.3 7.488
3.4 7.6032
3.5 7.3728
3.6 7.3728
3.7 7.3728
3.8 7.6032
3.9 7.3728
4 7.488
4.1 7.2576
4.2 7.488
4.3 7.6032
4.4 7.6032
4.5 7.2576
4.6 8.64
4.7 7.488
4.8 7.2576
4.9 7.488
5 7.6032
5.1 7.2576
5.2 7.488
5.3 7.6032
5.4 7.2576
5.5 7.6032
5.6 7.488
5.7 7.488
5.8 7.488
5.9 7.1424
6 7.6032
6.1 7.488
6.2 7.3728
6.3 7.488
6.4 7.2576
6.5 7.1424
6.6 7.6032
6.7 7.1424
6.8 8.9856
6.9 7.0272
7 7.3728
7.1 7.2576
7.2 7.6032
7.3 7.488
7.4 7.2576
7.5 7.488
7.6 7.2576
7.7 7.488
7.8 7.6032
7.9 7.1424
8 7.6032
8.1 7.3728
8.2 7.6032
8.3 7.3728
8.4 7.488
8.5 7.2576
8.6 7.488
8.7 7.6032
8.8 7.6032
8.9 7.2576
9 7.488
9.1 7.488
9.2 7.6032
9.3 7.2576
9.4 7.6032
9.5 7.488
9.6 7.488
9.7 7.488
9.8 7.1424
9.9 7.6032
