#Time(s) Throughput(Mbps)
1.5 38.7533
1.6 131.328
1.7 131.789
1.8 129.024
1.9 131.789
2 131.789
2.1 131.328
2.2 131.789
2.3 114.394
2.4 91.6992
2.5 92.16
2.6 92.16
2.7 92.16
2.8 92.16
2.9 90.7776
3 91.6992
3.1 92.16
3.2 92.16
3.3 92.16
3.4 92.16
3.5 91.2384
3.6 91.2384
3.7 92.16
3.8 92.16
3.9 92.16
4 92.16
4.1 91.6992
4.2 90.7776
4.3 92.16
4.4 92.16
4.5 92.16
4.6 92.16
4.7 92.16
4.8 90.3168
4.9 92.16
5 92.16
5.1 92.16
5.2 92.16
5.3 92.16
5.4 90.3168
5.5 92.16
5.6 92.16
5.7 92.16
5.8 92.16
5.9 92.16
6 90.3168
6.1 92.16
6.2 92.16
6.3 92.16
6.4 92.16
6.5 92.16
6.6 90.3168
6.7 92.16
6.8 92.16
6.9 92.16
7 92.16
7.1 92.16
7.2 90.3168
7.3 92.16
7.4 92.16
7.5 92.16
7.6 92.16
7.7 92.16
7.8 90.3168
7.9 92.16
8 92.16
8.1 92.16
8.2 92.16
8.3 92.16
8.4 90.3168
8.5 92.16
8.6 92.16
8.7 92.16
8.8 92.16
8.9 92.16
9 90.3168
9.1 92.16
9.2 92.16
9.3 92.16
9.4 92.16
9.5 92.16
9.6 90.3168
9.7 92.16
9.8 92.16
9.9 92.16
