#Time(s) Cwnd(bytes) Context
1.21573 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21847 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.23726 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25252 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.29831 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.31083 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.31983 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.3754 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.37814 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.39693 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.41219 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.45798 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.47051 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.4795 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.53508 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.53781 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.5566 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.57186 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.61765 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.63018 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.63917 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.69475 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.69748 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.71628 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.73154 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.77732 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
