#Time(s) Rtt(s) Context
1.2032 0.0264567 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20947 0.0247746 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21847 0.0244278 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22473 0.0224993 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.231 0.0211869 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24352 0.0216635 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25252 0.0232056 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26778 0.0221799 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.27404 0.0202824 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.28304 0.0197471 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.28931 0.0184037 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.29831 0.0183533 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.31083 0.0198091 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.31983 0.022208 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.33509 0.026307 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.35036 0.0317686 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.35662 0.0296725 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.36288 0.0274635 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.36914 0.0256555 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.37814 0.0251986 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.3844 0.0231738 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.39067 0.021777 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.40319 0.0221799 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.41219 0.0236574 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.42745 0.0225752 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.43372 0.0205033 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.44272 0.0198154 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.44898 0.0184635 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.45798 0.0184056 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.47051 0.0199799 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.4795 0.0224824 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.49476 0.0265471 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.51003 0.0321037 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.51629 0.0299657 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.52255 0.02772 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.52881 0.025755 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.53781 0.0251606 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.54407 0.0231406 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.55034 0.021873 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.56286 0.0222639 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.57186 0.0237309 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.58713 0.0227645 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.59339 0.020669 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.60239 0.0199603 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.60865 0.0185903 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.61765 0.0185165 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.63018 0.0200769 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.63917 0.0225673 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
