#Time(s) Cwnd(bytes) Context
2.09262 1440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.09453 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.09556 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.09783 10080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.09807 12960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.1008 14400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.10183 15840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.10183 17280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.10409 20160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.10682 23040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.11334 24480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.12233 25920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.74889 1440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.75001 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.75105 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.75354 10080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.75548 12960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.75708 14400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.75731 15840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.75981 17280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.76174 18720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.93115 20160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.27225 21600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.3537 23040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.53028 24480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.70661 25920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
5.72254 1440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
5.72312 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
5.72472 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
5.72666 10080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
5.72859 12960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
5.73042 14400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
5.73098 15840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
5.73292 17280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
5.73485 18720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
5.74192 20160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
5.74386 21600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
5.74819 23040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
5.75195 24480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
6.75805 25920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.86357 1440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.86422 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.86604 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.86775 10080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.86969 12960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.87151 14400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.87231 15840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.87401 17280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.87595 18720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.88302 20160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.88496 21600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.88928 23040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.89304 24480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
8.89927 25920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
