#Time(s) Rtt(s) Context
1.20004 0.165566 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20253 0.16712 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20277 0.16848 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20381 0.169795 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20607 0.171321 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20654 0.172655 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20881 0.174074 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2096 0.175439 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21177 0.176884 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21281 0.178274 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21507 0.179865 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21531 0.181257 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2178 0.182724 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2186 0.184134 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21907 0.185492 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22157 0.186931 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22406 0.188564 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22431 0.189994 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22534 0.19137 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2276 0.192823 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22807 0.19422 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23034 0.195693 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23113 0.197106 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2333 0.198593 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23434 0.200019 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2366 0.201517 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23684 0.202827 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23933 0.204349 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24013 0.205805 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24061 0.207079 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2431 0.208569 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2456 0.210123 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24584 0.211483 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24687 0.212798 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24913 0.214323 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2496 0.215657 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25187 0.217075 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25266 0.218441 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25483 0.219886 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25587 0.221275 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25813 0.222866 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25837 0.224257 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26086 0.225725 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26166 0.227135 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26214 0.228493 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26463 0.229931 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26713 0.231565 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26737 0.232994 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2684 0.23437 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.27066 0.235824 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.27113 0.237221 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2734 0.238693 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.27419 0.240106 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.27636 0.241593 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2774 0.243019 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.27966 0.244517 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2799 0.245827 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.28239 0.247349 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.28319 0.248805 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.28367 0.250079 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.28617 0.25157 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.28866 0.253123 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2889 0.254483 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.28993 0.255798 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.29219 0.257323 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.29267 0.258657 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.29493 0.260075 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.29573 0.261441 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.29789 0.262886 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.29893 0.264275 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.30119 0.265866 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.30143 0.267257 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.30392 0.268725 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.30472 0.270135 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.3052 0.271493 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.3077 0.272931 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.31019 0.274565 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.31043 0.275994 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
