#Time(s) Cwnd(bytes) Context
1.200 1440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.205 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.210 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.215 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.220 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.225 8640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.230 10080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.235 11520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.240 12960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.245 14400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.250 15840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.255 17280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.260 18720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.265 20160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.270 21600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.275 23040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.280 24480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.285 25920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.290 27360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.295 28800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.300 30240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.305 31680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.310 33120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.315 34560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.320 36000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.325 37440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.330 38880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.335 40320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.340 41760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.345 43200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.400 44640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.450 46080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.500 47520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.600 48960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.700 50400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.800 51840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.900 53280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.000 54720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.100 56160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.200 57600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.250 59040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.280 60480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.300 61920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
