#Time(s) Rtt(s) Context
1.20141 0.00751302 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20309 0.0081989 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20688 0.00917403 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20887 0.0102773 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20935 0.0113676 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20959 0.0106967 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21314 0.0106096 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21514 0.0107834 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21538 0.0101855 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21562 0.00966228 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21811 0.00957949 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21835 0.00913206 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21965 0.00874055 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22358 0.00889798 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22438 0.00916073 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22568 0.00876564 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22767 0.00854494 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22791 0.00822682 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23338 0.00869847 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23442 0.00836116 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23467 0.00806601 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23739 0.00818276 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24068 0.00790991 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24341 0.00804617 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24721 0.0086654 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2492 0.00945723 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25137 0.0104001 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25218 0.0113501 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26221 0.0134313 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.266 0.0157524 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26874 0.0180333 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.27997 0.0214042 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2848 0.0249787 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.29026 0.0288563 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.29652 0.0329993 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.30905 0.0382494 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.30985 0.0342182 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.31178 0.0309409 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.32237 0.0278233 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.32864 0.0258454 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.34116 0.0257397 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.3439 0.0258973 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.35916 0.0246601 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.36543 0.0223276 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.37443 0.0214116 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.38069 0.0198602 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.38969 0.0196277 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.40222 0.0210492 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.41121 0.023418 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.42647 0.0273658 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.44174 0.0326951 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.448 0.0304832 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.45426 0.0282978 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.46052 0.0263856 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.46952 0.0258374 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.47578 0.0237327 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.48205 0.0223911 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.49458 0.0227172 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.50357 0.0241276 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.51884 0.0229866 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.5251 0.0209883 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.5341 0.0203648 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.54036 0.0189442 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.54936 0.0188261 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.56189 0.0202229 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.57088 0.02257 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.58615 0.0266238 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.60141 0.0320458 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.60767 0.0299151 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
