#Time(s) Throughput(Mbps)
1.5 6.9504
1.6 3.456
1.7 2.9952
1.8 3.456
1.9 2.9952
2 3.2256
2.1 3.3408
2.2 3.456
2.3 3.2256
2.4 3.2256
2.5 2.9952
2.6 3.456
2.7 2.9952
2.8 3.456
2.9 3.1104
3 3.456
3.1 3.2256
3.2 3.2256
3.3 2.9952
3.4 3.456
3.5 3.456
3.6 2.9952
3.7 3.1104
3.8 3.456
3.9 3.3408
4 3.5712
4.1 2.9952
4.2 3.456
4.3 3.3408
4.4 2.9952
4.5 3.3408
4.6 3.2256
4.7 2.9952
4.8 3.5712
4.9 2.9952
5 3.456
5.1 3.3408
5.2 2.9952
5.3 3.5712
5.4 2.9952
5.5 2.9952
5.6 3.5712
5.7 2.9952
5.8 3.456
5.9 3.3408
6 3.1104
6.1 3.456
6.2 2.9952
6.3 3.2256
6.4 3.3408
6.5 2.9952
6.6 3.9168
6.7 3.3408
6.8 3.3408
6.9 3.2256
7 2.9952
7.1 3.5712
7.2 2.9952
7.3 3.456
7.4 3.3408
7.5 2.9952
7.6 3.5712
7.7 2.9952
7.8 2.9952
7.9 3.5712
8 2.9952
8.1 3.456
8.2 3.3408
8.3 3.1104
8.4 3.456
8.5 2.9952
8.6 3.2256
8.7 3.3408
8.8 2.9952
8.9 3.456
9 3.456
9.1 2.9952
9.2 3.456
9.3 3.456
9.4 2.9952
9.5 3.1104
9.6 3.456
9.7 3.3408
9.8 3.3408
9.9 2.7648
