#Time(s) Rtt(s) Context
1.20463 0.0124978 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21266 0.0129355 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21266 0.0123186 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22269 0.0120288 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23071 0.0127752 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24074 0.0124283 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24876 0.0121247 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24877 0.0118592 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25679 0.0113768 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26482 0.0119547 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.27284 0.0124603 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.28087 0.0129028 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.28087 0.0122899 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2909 0.0120037 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.29892 0.0127532 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.30895 0.0124091 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.31697 0.0121079 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.31698 0.0118444 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.325 0.0114889 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.33303 0.0121778 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.34105 0.0126556 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.34908 0.0130736 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.34908 0.0124394 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.35911 0.0121345 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.36713 0.0128677 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.37716 0.0125092 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.38518 0.0121956 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.38519 0.0119211 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.39321 0.011431 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.40124 0.0120021 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
