#Time(s) Throughput(Mbps)
1.5 1.48224
1.6 3.6864
1.7 3.9168
1.8 4.032
1.9 3.9168
2 3.6864
2.1 3.8016
2.2 4.1472
2.3 3.8016
2.4 3.8016
2.5 3.8016
2.6 4.1472
2.7 3.5712
2.8 4.032
2.9 3.9168
3 4.032
3.1 3.9168
3.2 5.5296
3.3 4.7232
3.4 3.8016
3.5 4.1472
3.6 3.8016
3.7 3.8016
3.8 3.8016
3.9 4.1472
4 3.5712
4.1 4.032
4.2 3.9168
4.3 4.032
4.4 3.6864
4.5 3.9168
4.6 3.9168
4.7 3.5712
4.8 4.1472
4.9 3.8016
5 4.1472
5.1 3.8016
5.2 3.8016
5.3 5.184
5.4 5.2992
5.5 3.9168
5.6 4.032
5.7 3.6864
5.8 3.9168
5.9 3.9168
6 3.5712
6.1 4.1472
6.2 3.8016
6.3 4.1472
6.4 3.8016
6.5 3.8016
6.6 3.8016
6.7 3.8016
6.8 3.9168
6.9 4.032
7 3.9168
7.1 4.032
7.2 3.6864
7.3 3.9168
7.4 4.9536
7.5 5.4144
7.6 4.1472
7.7 3.8016
7.8 3.8016
7.9 3.8016
8 3.8016
8.1 3.9168
8.2 4.032
8.3 3.9168
8.4 4.032
8.5 3.6864
8.6 3.9168
8.7 3.9168
8.8 3.5712
8.9 4.1472
9 3.8016
9.1 4.1472
9.2 3.456
9.3 4.1472
9.4 3.8016
9.5 4.7232
9.6 5.6448
9.7 4.2624
9.8 3.6864
9.9 3.9168
