#Time(s) Cwnd(bytes) Context
1.237 108000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25904 107172 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25904 107784 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25905 107981 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25905 110032 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25905 110644 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25905 111255 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25906 111453 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25906 113504 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25907 114116 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25907 114727 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25907 114924 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25907 116976 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25908 117587 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25908 118199 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25909 118396 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25909 120448 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25909 121059 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2591 119520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2591 116640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25911 115200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26104 112320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26104 110880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26105 108000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26107 106560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26107 103680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26108 102240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26108 99360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2611 97920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2611 96480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26111 95040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26111 93600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26111 90720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26113 89280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26305 86400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26307 84960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26307 82080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26308 80640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26308 77760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2631 76320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2631 74880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.30523 76320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.33541 75530 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.33542 76179 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.33734 76433 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.33734 78523 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.33736 79172 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.33736 79822 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.33737 80076 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.33737 82165 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.33739 82815 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.33739 83464 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.33739 83718 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.33739 85808 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.3374 86457 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.33741 87106 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.33742 87360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.33742 89450 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.33742 90099 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
