#Time(s) Throughput(Mbps)
1.5 29.9827
1.6 69.5808
1.7 69.12
1.8 69.5808
1.9 74.1888
2 77.4144
2.1 80.1792
2.2 71.7696
2.3 58.0608
2.4 61.7472
2.5 49.1904
2.6 46.5408
2.7 46.08
2.8 48.384
2.9 52.5312
3 51.0336
3.1 31.68
3.2 27.5328
3.3 23.5008
3.4 20.9664
3.5 17.9712
3.6 20.3904
3.7 21.4272
3.8 24.4224
3.9 22.9248
4 23.5008
4.1 28.5696
4.2 30.8736
4.3 32.256
4.4 35.3664
4.5 28.5696
4.6 30.8736
4.7 31.7952
4.8 36.5184
4.9 25.4592
5 22.5792
5.1 21.5424
5.2 23.9616
5.3 27.9936
5.4 21.6576
5.5 19.584
5.6 22.6944
5.7 23.8464
5.8 21.4272
5.9 14.5152
6 19.1232
6.1 21.0816
6.2 15.552
6.3 18.432
6.4 20.9664
6.5 19.9296
6.6 18.2016
6.7 16.128
6.8 21.1968
6.9 25.8048
7 29.0304
7.1 23.8464
7.2 23.5008
7.3 26.6112
7.4 18.3168
7.5 23.04
7.6 22.464
7.7 18.3168
7.8 18.3168
7.9 18.7776
8 17.9712
8.1 23.04
8.2 28.1088
8.3 32.256
8.4 35.8272
8.5 24.768
8.6 22.464
8.7 19.2384
8.8 21.1968
8.9 19.3536
9 23.5008
9.1 20.6208
9.2 23.9616
9.3 27.9936
9.4 10.368
9.5 0
9.6 0
9.7 0
9.8 0
9.9 0
