#Time(s) Cwnd(bytes) Context
1.237 108000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.33343 109440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.34148 110880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.35156 112320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36559 113760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.37752 115200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.41366 116640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.49223 118080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.50029 119520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.51039 120960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.52224 122400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.53831 123840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.54841 125280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.55846 126720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.57048 128160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.59264 129600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.61071 131040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.66495 132480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.73541 133920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.74334 135360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.74942 136800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.76161 138240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.77356 139680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.78554 141120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.79553 142560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.80772 144000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.8156 145440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.82989 146880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.84551 148320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.85373 149760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.85997 151200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87208 1440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87326 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87329 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87334 10080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87337 12960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87341 15840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87344 18720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87348 21600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87351 24480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87526 27360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.8753 30240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87534 33120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87537 36000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87541 38880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87544 41760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87549 44640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87553 47520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87726 50400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.8773 53280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87734 56160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87738 59040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87742 61920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87744 64800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87749 67680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87753 70560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87929 72000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87932 73440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87936 74880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87939 76320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87943 77760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87947 79200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87949 82080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.87954 87840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.88147 89280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.88151 90720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.88332 92160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.88337 93600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.88347 95040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.88351 96480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.88533 97920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.88547 99360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.88552 100800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.88739 102240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.88742 103680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.88746 105120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.9196 106560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.02008 108000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.12029 109440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.12642 110880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.15054 112320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.1747 113760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.19874 1440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.20008 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.20012 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.20014 10080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.20019 12960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.20022 15840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.20026 18720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.20208 21600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.20212 24480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.20215 27360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.2022 30240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.20222 33120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.20226 36000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.20409 38880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.20412 41760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.20417 44640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.2042 47520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.20423 50400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.20426 53280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.2061 54720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.20614 56160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.20617 57600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.2062 59040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.20624 60480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.20629 61920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.20829 63360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.21023 64800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.21219 66240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.2142 67680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.21425 69120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.23436 70560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.35898 72000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.4071 73440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.53366 74880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.56168 76320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.68824 77760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.7164 79200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.8389 80640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.87111 82080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.91521 83520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
5.00961 84960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
5.12008 86400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
5.23658 87840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
5.36724 89280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
5.51387 90720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
5.67844 92160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
5.87528 93600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
6.12203 95040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.13461 1440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.13584 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.13589 7200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.13592 10080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.13595 12960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.13605 15840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.13784 18720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.13791 21600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.13794 24480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.13797 27360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.13805 30240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.13985 33120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.13991 36000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.13994 38880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.13997 41760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.14005 44640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.14187 46080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.14191 47520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.14195 48960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.14197 50400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.14205 53280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.14396 54720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.14594 56160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.14789 57600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.14808 59040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.1501 60480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.15202 61920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.1539 63360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.15397 64800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.26645 66240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.33473 67680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.47533 69120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.53961 70560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.66005 72000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.78861 73440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.93323 74880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
8.10012 76320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
8.36508 77760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
8.54389 79200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
8.89336 80640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
8.97367 82080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
9.05012 83520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
