#Time(s) Throughput(Mbps)
1.5 39.0298
1.6 154.368
1.7 158.976
1.8 161.741
1.9 181.555
2 184.32
2.1 184.32
2.2 181.555
2.3 183.398
2.4 184.32
2.5 184.32
2.6 184.32
2.7 184.32
2.8 180.634
2.9 169.114
3 129.946
3.1 131.789
3.2 130.867
3.3 135.936
3.4 137.779
3.5 138.24
3.6 138.24
3.7 138.24
3.8 138.24
3.9 135.475
4 138.24
4.1 138.24
4.2 138.24
4.3 86.1696
4.4 82.0224
4.5 89.856
4.6 88.0128
4.7 89.856
4.8 95.3856
4.9 93.0816
5 102.298
5.1 103.219
5.2 102.758
5.3 106.445
5.4 102.758
5.5 109.67
5.6 111.053
5.7 111.514
5.8 111.053
5.9 112.896
6 115.2
6.1 115.2
6.2 115.661
6.3 113.357
6.4 114.739
6.5 115.2
6.6 115.2
6.7 115.2
6.8 115.2
6.9 112.896
7 115.2
7.1 115.2
7.2 91.2384
7.3 76.9536
7.4 80.64
7.5 80.64
7.6 85.248
7.7 82.4832
7.8 88.9344
7.9 86.1696
8 90.3168
8.1 91.6992
8.2 92.6208
8.3 88.9344
8.4 87.552
8.5 95.3856
8.6 92.6208
8.7 97.2288
8.8 96.3072
8.9 96.3072
9 99.5328
9.1 80.1792
9.2 0
9.3 0
9.4 0
9.5 0
9.6 0
9.7 0
9.8 0
9.9 0
