#Time(s) Rtt(s) Context
1.20475 0.044097 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.213 0.0495849 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21775 0.0550118 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.218 0.0598853 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23796 0.0665246 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24778 0.0735841 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25769 0.0810111 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26752 0.0887597 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.27742 0.0967897 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.28725 0.105066 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.29715 0.113558 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.30698 0.122113 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.31688 0.130849 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.32671 0.139743 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.33661 0.148775 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.34644 0.157928 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.35634 0.167187 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.36617 0.176539 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.37552 0.185846 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.38364 0.194991 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.38697 0.203367 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.39391 0.211571 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.40139 0.21975 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.4067 0.227531 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.41291 0.235089 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.41985 0.242578 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.42617 0.250006 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.43148 0.25713 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.43837 0.264239 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.45095 0.271959 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.45736 0.279589 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.46383 0.287016 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.47009 0.294389 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.47588 0.301465 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.48234 0.308532 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.48861 0.315465 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.49487 0.322282 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.50085 0.328997 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.50712 0.335747 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.51339 0.342404 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.51965 0.348978 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.52563 0.355481 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.5319 0.361921 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.53817 0.368431 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.54443 0.374877 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.55041 0.381267 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.55668 0.387609 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.56295 0.393908 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.56921 0.400294 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.57519 0.406633 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.58146 0.412928 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.58773 0.419187 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.59399 0.425414 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.59997 0.431612 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.60624 0.437911 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.61251 0.444172 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.61877 0.4504 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.62475 0.4566 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.63102 0.4629 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.63729 0.469163 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.64355 0.475392 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.64953 0.481593 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.6558 0.487769 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.66207 0.494048 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.66833 0.500292 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.67431 0.506506 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.68058 0.512692 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.68685 0.518856 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.69311 0.525124 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.69909 0.531358 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.70536 0.537564 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.71163 0.543743 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.71789 0.5499 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.72387 0.556038 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.73014 0.562283 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.73641 0.568498 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.74239 0.574685 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.74865 0.58085 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.75492 0.586994 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.7609 0.593119 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.76717 0.599354 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.77343 0.60556 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.77941 0.61174 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.78568 0.617898 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.79194 0.624035 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.79793 0.630156 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.80419 0.636386 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.81046 0.642588 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.81644 0.648765 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.8227 0.654919 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.82897 0.661054 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.83495 0.667172 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.84122 0.673401 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.84748 0.679601 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.85347 0.685776 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.85973 0.691929 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.866 0.698063 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.87198 0.70418 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.87824 0.710407 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.88451 0.716606 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.89049 0.722781 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.89676 0.728933 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.90302 0.735191 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.909 0.741417 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.91527 0.747615 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.92154 0.753788 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.92752 0.75994 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.93378 0.766072 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.94005 0.772313 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.94603 0.778524 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.9523 0.784709 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.95856 0.79087 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.96454 0.797011 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
