#Time(s) Cwnd(bytes) Context
1.20011 138240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20136 142560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20197 144000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20315 145440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20383 146880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20452 148320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2052 149760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20587 151200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20656 152640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20724 154080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2075 155520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20793 156960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20846 158400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20924 159840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.20997 161280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21065 162720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21097 164160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21124 165600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21275 167040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21309 168480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21402 169920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21495 171360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21533 172800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21587 174240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21754 175680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21815 177120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21866 178560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.21903 180000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2202 181440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22051 182880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22095 184320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22134 185760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22216 187200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22236 188640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22329 190080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22422 191520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22449 192960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22494 194400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22514 195840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22566 197280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22646 198720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22702 200160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22786 201600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22865 203040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22906 204480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22943 205920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22975 207360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.23071 208800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.23179 210240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.23247 211680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.23287 213120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.23384 214560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.23435 216000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.23465 217440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.23505 218880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.23534 220320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2362 221760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.237 223200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.23725 224640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.23793 226080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.23832 227520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.23898 228960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.23936 230400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.23998 231840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24072 233280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24134 234720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24236 236160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2427 237600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24326 239040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24353 240480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24407 241920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24475 243360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24554 244800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24657 246240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24739 247680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24768 249120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24818 250560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24875 252000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24918 253440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.24991 254880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2507 256320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25109 257760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25135 259200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25203 260640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25225 262080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25296 263520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25368 264960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25443 266400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25498 267840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25566 269280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25634 270720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25666 272160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25723 273600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25771 275040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25839 276480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25859 277920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.25925 279360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26111 280800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26136 282240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26176 283680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26246 285120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26301 286560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26452 288000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2648 289440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26506 290880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26589 292320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.26608 293760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
