#Time(s) Rtt(s) Context
1.20109 0.136847 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20679 0.140116 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.20964 0.143352 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21249 0.146558 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21629 0.149863 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21819 0.153005 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.21953 0.15588 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22199 0.158645 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22484 0.161439 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.22895 0.164384 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23316 0.167586 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23612 0.170763 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.23674 0.173543 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2405 0.176475 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24225 0.17929 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.2462 0.182254 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.24669 0.184847 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.25011 0.187616 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26322 0.191664 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26497 0.195331 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.26672 0.19879 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.27614 0.203066 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.28309 0.207683 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.28944 0.212473 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.29989 0.217913 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.30559 0.223424 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.30768 0.228496 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.31034 0.233309 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.31464 0.238021 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.31699 0.242393 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.33017 0.247969 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.33599 0.253473 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.33979 0.258789 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.34264 0.263815 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.34454 0.231713 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.35499 0.204874 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.36164 0.182265 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.36859 0.163357 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.37142 0.147187 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.37332 0.133289 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.37568 0.121378 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.38377 0.111955 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.38862 0.104336 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.39072 0.097919 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.39311 0.0926791 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.3952 0.0883442 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.39853 0.0849262 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.40351 0.0825604 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.41223 0.0816154 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.41553 0.0811634 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.42532 0.074393 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.43159 0.0692189 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.43253 0.0648165 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.43819 0.0617145 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.44151 0.0593752 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.44524 0.0578283 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.45162 0.0572247 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.45227 0.0568216 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.45611 0.0569689 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.46116 0.0577228 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.46499 0.0587575 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.46927 0.0602878 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.47146 0.0618768 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.47314 0.0635172 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.47463 0.0650776 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.47669 0.0666929 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.48128 0.0687312 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.48252 0.0706398 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.48318 0.0724349 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.48887 0.0746305 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.49018 0.0768017 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.49766 0.0795765 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.50407 0.0828794 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.5096 0.0863945 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.51035 0.0895952 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.51134 0.0925208 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.51744 0.0958307 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.51927 0.0989768 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.52043 0.101855 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.52782 0.0948729 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.53068 0.0891388 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.53232 0.0843714 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.53319 0.080325 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.53662 0.0771594 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.53774 0.0745145 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.54017 0.0725751 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.54162 0.0710033 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.54368 0.0698778 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.54455 0.0690181 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.54872 0.0687659 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.5517 0.0689201 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.55451 0.0694301 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.56263 0.0708763 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.56549 0.0725168 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.57057 0.0745772 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.57573 0.077005 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.58007 0.0797544 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
1.58716 0.0830351 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/RTT
