#Time(s) Cwnd(bytes) Context
1.33205 43200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.93715 44640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.44324 46080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.96548 47520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
3.47162 48960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.01619 50400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.29173 51840 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.57362 53280 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
4.84901 54720 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
5.12337 56160 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
5.38814 57600 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
5.63725 59040 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
5.88901 60480 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
6.14787 61920 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
6.41189 63360 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
6.67725 64800 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
6.94243 66240 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.21218 67680 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.48299 69120 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
7.75148 70560 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
8.01626 72000 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
8.26426 73440 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
8.51477 74880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
8.76855 76320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
9.0251 77760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
9.2836 79200 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
9.52907 80640 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
9.78509 82080 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
10.0409 83520 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
10.3033 84960 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
10.5621 86400 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
